,Date,Date_YMD,Status,States,value
90,13-Apr-20,2020-04-13,Confirmed,Andaman and Nicobar,0
91,13-Apr-20,2020-04-13,Recovered,Andaman and Nicobar,0
92,13-Apr-20,2020-04-13,Deceased,Andaman and Nicobar,0
93,14-Apr-20,2020-04-14,Confirmed,Andaman and Nicobar,0
94,14-Apr-20,2020-04-14,Recovered,Andaman and Nicobar,0
95,14-Apr-20,2020-04-14,Deceased,Andaman and Nicobar,0
96,15-Apr-20,2020-04-15,Confirmed,Andaman and Nicobar,0
97,15-Apr-20,2020-04-15,Recovered,Andaman and Nicobar,0
98,15-Apr-20,2020-04-15,Deceased,Andaman and Nicobar,0
99,16-Apr-20,2020-04-16,Confirmed,Andaman and Nicobar,0
100,16-Apr-20,2020-04-16,Recovered,Andaman and Nicobar,1
101,16-Apr-20,2020-04-16,Deceased,Andaman and Nicobar,0
102,17-Apr-20,2020-04-17,Confirmed,Andaman and Nicobar,1
103,17-Apr-20,2020-04-17,Recovered,Andaman and Nicobar,0
104,17-Apr-20,2020-04-17,Deceased,Andaman and Nicobar,0
105,18-Apr-20,2020-04-18,Confirmed,Andaman and Nicobar,2
106,18-Apr-20,2020-04-18,Recovered,Andaman and Nicobar,0
107,18-Apr-20,2020-04-18,Deceased,Andaman and Nicobar,0
108,19-Apr-20,2020-04-19,Confirmed,Andaman and Nicobar,1
109,19-Apr-20,2020-04-19,Recovered,Andaman and Nicobar,0
110,19-Apr-20,2020-04-19,Deceased,Andaman and Nicobar,0
111,20-Apr-20,2020-04-20,Confirmed,Andaman and Nicobar,1
112,20-Apr-20,2020-04-20,Recovered,Andaman and Nicobar,0
113,20-Apr-20,2020-04-20,Deceased,Andaman and Nicobar,0
114,21-Apr-20,2020-04-21,Confirmed,Andaman and Nicobar,1
115,21-Apr-20,2020-04-21,Recovered,Andaman and Nicobar,0
116,21-Apr-20,2020-04-21,Deceased,Andaman and Nicobar,0
117,22-Apr-20,2020-04-22,Confirmed,Andaman and Nicobar,1
