,Confiremed,Deceased,Recovered,Date,Date_YMD,States,value,Month-Year
64,0.0,0.0,0.0,04-Apr-20,2020-04-04,Andaman and Nicobar,0,Apr-2020
65,0.0,0.0,0.0,04-Apr-20,2020-04-04,Andaman and Nicobar,0,Apr-2020
66,0.0,0.0,0.0,05-Apr-20,2020-04-05,Andaman and Nicobar,0,Apr-2020
67,0.0,0.0,0.0,05-Apr-20,2020-04-05,Andaman and Nicobar,0,Apr-2020
68,0.0,0.0,0.0,05-Apr-20,2020-04-05,Andaman and Nicobar,0,Apr-2020
69,0.0,0.0,0.0,06-Apr-20,2020-04-06,Andaman and Nicobar,0,Apr-2020
70,0.0,0.0,0.0,06-Apr-20,2020-04-06,Andaman and Nicobar,0,Apr-2020
71,0.0,0.0,0.0,06-Apr-20,2020-04-06,Andaman and Nicobar,0,Apr-2020
72,0.0,0.0,0.0,07-Apr-20,2020-04-07,Andaman and Nicobar,0,Apr-2020
73,0.0,0.0,0.0,07-Apr-20,2020-04-07,Andaman and Nicobar,0,Apr-2020
74,0.0,0.0,0.0,07-Apr-20,2020-04-07,Andaman and Nicobar,0,Apr-2020
75,1.0,0.0,0.0,08-Apr-20,2020-04-08,Andaman and Nicobar,1,Apr-2020
76,0.0,0.0,0.0,08-Apr-20,2020-04-08,Andaman and Nicobar,0,Apr-2020
77,0.0,0.0,0.0,08-Apr-20,2020-04-08,Andaman and Nicobar,0,Apr-2020
78,0.0,0.0,0.0,09-Apr-20,2020-04-09,Andaman and Nicobar,0,Apr-2020
79,0.0,0.0,10.0,09-Apr-20,2020-04-09,Andaman and Nicobar,10,Apr-2020
80,0.0,0.0,0.0,09-Apr-20,2020-04-09,Andaman and Nicobar,0,Apr-2020
81,0.0,0.0,0.0,10-Apr-20,2020-04-10,Andaman and Nicobar,0,Apr-2020
82,0.0,0.0,0.0,10-Apr-20,2020-04-10,Andaman and Nicobar,0,Apr-2020
83,0.0,0.0,0.0,10-Apr-20,2020-04-10,Andaman and Nicobar,0,Apr-2020
84,0.0,0.0,0.0,11-Apr-20,2020-04-11,Andaman and Nicobar,0,Apr-2020
85,0.0,0.0,0.0,11-Apr-20,2020-04-11,Andaman and Nicobar,0,Apr-2020
86,0.0,0.0,0.0,11-Apr-20,2020-04-11,Andaman and Nicobar,0,Apr-2020
87,0.0,0.0,0.0,12-Apr-20,2020-04-12,Andaman and Nicobar,0,Apr-2020
88,0.0,0.0,0.0,12-Apr-20,2020-04-12,Andaman and Nicobar,0,Apr-2020
89,0.0,0.0,0.0,12-Apr-20,2020-04-12,Andaman and Nicobar,0,Apr-2020
90,0.0,0.0,0.0,13-Apr-20,2020-04-13,Andaman and Nicobar,0,Apr-2020
91,0.0,0.0,0.0,13-Apr-20,2020-04-13,Andaman and Nicobar,0,Apr-2020
92,0.0,0.0,0.0,13-Apr-20,2020-04-13,Andaman and Nicobar,0,Apr-2020
93,0.0,0.0,0.0,14-Apr-20,2020-04-14,Andaman and Nicobar,0,Apr-2020
94,0.0,0.0,0.0,14-Apr-20,2020-04-14,Andaman and Nicobar,0,Apr-2020
95,0.0,0.0,0.0,14-Apr-20,2020-04-14,Andaman and Nicobar,0,Apr-2020
96,0.0,0.0,0.0,15-Apr-20,2020-04-15,Andaman and Nicobar,0,Apr-2020
97,0.0,0.0,0.0,15-Apr-20,2020-04-15,Andaman and Nicobar,0,Apr-2020
98,0.0,0.0,0.0,15-Apr-20,2020-04-15,Andaman and Nicobar,0,Apr-2020
99,0.0,0.0,0.0,16-Apr-20,2020-04-16,Andaman and Nicobar,0,Apr-2020
100,0.0,0.0,1.0,16-Apr-20,2020-04-16,Andaman and Nicobar,1,Apr-2020
101,0.0,0.0,0.0,16-Apr-20,2020-04-16,Andaman and Nicobar,0,Apr-2020
102,1.0,0.0,0.0,17-Apr-20,2020-04-17,Andaman and Nicobar,1,Apr-2020
103,0.0,0.0,0.0,17-Apr-20,2020-04-17,Andaman and Nicobar,0,Apr-2020
104,0.0,0.0,0.0,17-Apr-20,2020-04-17,Andaman and Nicobar,0,Apr-2020
105,2.0,0.0,0.0,18-Apr-20,2020-04-18,Andaman and Nicobar,2,Apr-2020
106,0.0,0.0,0.0,18-Apr-20,2020-04-18,Andaman and Nicobar,0,Apr-2020
107,0.0,0.0,0.0,18-Apr-20,2020-04-18,Andaman and Nicobar,0,Apr-2020
108,1.0,0.0,0.0,19-Apr-20,2020-04-19,Andaman and Nicobar,1,Apr-2020
109,0.0,0.0,0.0,19-Apr-20,2020-04-19,Andaman and Nicobar,0,Apr-2020
110,0.0,0.0,0.0,19-Apr-20,2020-04-19,Andaman and Nicobar,0,Apr-2020
111,1.0,0.0,0.0,20-Apr-20,2020-04-20,Andaman and Nicobar,1,Apr-2020
112,0.0,0.0,0.0,20-Apr-20,2020-04-20,Andaman and Nicobar,0,Apr-2020
113,0.0,0.0,0.0,20-Apr-20,2020-04-20,Andaman and Nicobar,0,Apr-2020
114,1.0,0.0,0.0,21-Apr-20,2020-04-21,Andaman and Nicobar,1,Apr-2020
115,0.0,0.0,0.0,21-Apr-20,2020-04-21,Andaman and Nicobar,0,Apr-2020
116,0.0,0.0,0.0,21-Apr-20,2020-04-21,Andaman and Nicobar,0,Apr-2020
117,1.0,0.0,0.0,22-Apr-20,2020-04-22,Andaman and Nicobar,1,Apr-2020
118,0.0,0.0,0.0,22-Apr-20,2020-04-22,Andaman and Nicobar,0,Apr-2020
119,0.0,0.0,0.0,22-Apr-20,2020-04-22,Andaman and Nicobar,0,Apr-2020
120,4.0,0.0,0.0,23-Apr-20,2020-04-23,Andaman and Nicobar,4,Apr-2020
121,0.0,0.0,0.0,23-Apr-20,2020-04-23,Andaman and Nicobar,0,Apr-2020
122,0.0,0.0,0.0,23-Apr-20,2020-04-23,Andaman and Nicobar,0,Apr-2020
123,7.0,0.0,0.0,24-Apr-20,2020-04-24,Andaman and Nicobar,7,Apr-2020
124,0.0,0.0,0.0,24-Apr-20,2020-04-24,Andaman and Nicobar,0,Apr-2020
125,0.0,0.0,0.0,24-Apr-20,2020-04-24,Andaman and Nicobar,0,Apr-2020
126,4.0,0.0,0.0,25-Apr-20,2020-04-25,Andaman and Nicobar,4,Apr-2020
127,0.0,0.0,0.0,25-Apr-20,2020-04-25,Andaman and Nicobar,0,Apr-2020
128,0.0,0.0,0.0,25-Apr-20,2020-04-25,Andaman and Nicobar,0,Apr-2020
129,0.0,0.0,0.0,26-Apr-20,2020-04-26,Andaman and Nicobar,0,Apr-2020
130,0.0,0.0,0.0,26-Apr-20,2020-04-26,Andaman and Nicobar,0,Apr-2020
131,0.0,0.0,0.0,26-Apr-20,2020-04-26,Andaman and Nicobar,0,Apr-2020
132,0.0,0.0,0.0,27-Apr-20,2020-04-27,Andaman and Nicobar,0,Apr-2020
133,0.0,0.0,0.0,27-Apr-20,2020-04-27,Andaman and Nicobar,0,Apr-2020
134,0.0,0.0,0.0,27-Apr-20,2020-04-27,Andaman and Nicobar,0,Apr-2020
135,0.0,0.0,0.0,28-Apr-20,2020-04-28,Andaman and Nicobar,0,Apr-2020
136,0.0,0.0,4.0,28-Apr-20,2020-04-28,Andaman and Nicobar,4,Apr-2020
137,0.0,0.0,0.0,28-Apr-20,2020-04-28,Andaman and Nicobar,0,Apr-2020
138,0.0,0.0,0.0,29-Apr-20,2020-04-29,Andaman and Nicobar,0,Apr-2020
139,0.0,0.0,0.0,29-Apr-20,2020-04-29,Andaman and Nicobar,0,Apr-2020
140,0.0,0.0,0.0,29-Apr-20,2020-04-29,Andaman and Nicobar,0,Apr-2020
141,0.0,0.0,0.0,30-Apr-20,2020-04-30,Andaman and Nicobar,0,Apr-2020
142,0.0,0.0,1.0,30-Apr-20,2020-04-30,Andaman and Nicobar,1,Apr-2020
143,0.0,0.0,0.0,30-Apr-20,2020-04-30,Andaman and Nicobar,0,Apr-2020
144,0.0,0.0,0.0,01-May-20,2020-05-01,Andaman and Nicobar,0,May-2020
145,0.0,0.0,0.0,01-May-20,2020-05-01,Andaman and Nicobar,0,May-2020
146,0.0,0.0,0.0,01-May-20,2020-05-01,Andaman and Nicobar,0,May-2020
147,0.0,0.0,0.0,02-May-20,2020-05-02,Andaman and Nicobar,0,May-2020
148,0.0,0.0,10.0,02-May-20,2020-05-02,Andaman and Nicobar,10,May-2020
149,0.0,0.0,0.0,02-May-20,2020-05-02,Andaman and Nicobar,0,May-2020
150,0.0,0.0,0.0,03-May-20,2020-05-03,Andaman and Nicobar,0,May-2020
151,0.0,0.0,6.0,03-May-20,2020-05-03,Andaman and Nicobar,6,May-2020
152,0.0,0.0,0.0,03-May-20,2020-05-03,Andaman and Nicobar,0,May-2020
153,0.0,0.0,0.0,04-May-20,2020-05-04,Andaman and Nicobar,0,May-2020
154,0.0,0.0,0.0,04-May-20,2020-05-04,Andaman and Nicobar,0,May-2020
155,0.0,0.0,0.0,04-May-20,2020-05-04,Andaman and Nicobar,0,May-2020
